group,names,scores,logfoldchanges,pvals,pvals_adj
CD4-Th_Tumor,B3GALT2,3.8123035,4.65608,0.00013767769755475788,0.00048391253647498084
CD4-Treg_Tumor,FOXP3,17.772234,9.019729,1.1597766880325075e-70,5.028583998111096e-69
CD4-Treg_Tumor,LAIR2,4.1807265,7.009485,2.905790037284269e-05,9.27957499997523e-05
CD4-Treg_Tumor,GNG8,4.6847134,6.735691,2.8035222625658582e-06,9.887776818397999e-06
CD4-naive_Tumor,CD40LG,3.6399949,3.9734037,0.0002726435428509384,0.0005869058851292894
CD4-naive_Tumor,FXYD7,2.6543088,3.258666,0.007947103749860664,0.015218415552633636
CD4-naive_Tumor,RNF157,2.3582373,2.2330937,0.01836195585744736,0.033871191723495335
CD8-Tem_Tumor,DTHD1,9.7075615,5.664247,2.799547398468912e-22,1.5135270209464371e-21
CD8-Tem_Tumor,PACSIN1,2.5291317,5.035926,0.011434511546910366,0.023255955223179425
CD8-Tem_Tumor,VNN2,2.402299,4.627514,0.016292384528747306,0.032450721327398645
Fibro-SFRP4_Tumor,CADM3,4.351523,6.814854,1.3519504260765482e-05,6.92869624419707e-05
Fibro-SFRP4_Tumor,WIF1,3.3871772,6.632409,0.0007061574136220201,0.0027922694463320807
Fibro-SFRP4_Tumor,AFP,4.12612,6.4899077,3.689342882454455e-05,0.0001774917097465668
Fibro-major_Normal,CAPN6,3.9097157,6.0387454,9.24048695371101e-05,0.0004121332845526686
Fibro-major_Normal,FRMD1,2.837395,4.9622884,0.004548332084940624,0.015615014425943487
Fibro-major_Normal,DBX2,2.5149212,4.668783,0.011905898187116945,0.03749906133022196
Fibro-major_Tumor,SLC24A2,6.9477243,7.0973754,3.712255197142533e-12,1.3696995784545797e-11
Fibro-major_Tumor,KLK4,8.009791,6.4652486,1.1490291389167088e-15,4.7299382989457876e-15
